,Name,Location,Telephone
56,GERME İTFAİYE İSTASYONU,Bakkallı Köyü Germe Mevkii Cami Yanı Terkoz Karaburun Cad. Üzeri  Arnavutköy / ISTANBUL,T. 0 (212) 767 65 17
57,GÖKMASLI MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Gökmaslı Mahallesi / ŞİLE,T. 0 (532) 646 77 39
58,GÜMÜŞPINAR MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Gümüşpınar Mahallesi / ÇATALCA,T. 0 (532) 411 58 69
59,GÜMÜŞYAKA İTFAİYE İSTASYONU,Gümşyaka Merkez Mah. Sahilyolu Cad. No:3 Silivri/ ISTANBUL,T. 0 (212) 721 27 60
60,GÜMÜŞYAKA PLAJI,Gümüşyaka Plajı / SİLİVRİ,T. 
61,GÜNEŞ PLAJI,Güneş Plajı / BAKIRKÖY,T. 
62,GÜNGÖREN İTFAİYE İSTASYONU,Mehmet Nesin Özmen Mah. Eski Londra Asfaltı Eşref Bitlis Cad. No:8 Güngören/İstanbul,T. 0 (212) 677 95 61
63,GÜRPINAR PLAJI,Gürpınar Plajı / BEYLİKDÜZÜ,T. 
64,HABİBLER İTFAİYE İSTASYONU,Habibler Mah. Vefa Poyraz Cad. No:15 Habipler Sultangazi / ISTANBUL,T. 0 (212) 595 37 27
65,HACIOSMAN İTFAİYE İSTASYONU,Büyükdere Cad. Hacıosman Mevkii Bogaziçi Imar Müd. Bahçesi Içi Istinye / ISTANBUL,T. 0 (212) 223 27 30
66,HADIMKÖY İTFAİYE İSTASYONU,Hastane Mah. Ayasofya Cad. No:3 Arnavutköy /ISTANBUL,T. 0 (212) 771 39 96
67,HALLAÇLI MAHALLESİ GÖNÜLLÜ TFAİYE İSTASYONU,Hallaç Mahallesi / ÇATALCA,T. 0 (532) 267 06 37
68,HEYBELİADA İTFAİYE İSTASYONU,Lozan Zafer Cd. Koçbey Sk. No:5 Heybeliada Adalar/ ISTANBUL,T. 0 (216) 351 84 02
69,İKİTELLİ OSB İTFAİYE İSTASYONU,Süleyman Demirel Bulvarı Atatürk Sanayi Sitesi Karısı Ikitelli Başakşehir/ ISTANBUL,T. 0 (212) 671 27 43
70,İSTİNYE İTFAİYE İSTASYONU,İstinye Mah. İstinye Cad. No:106 İstinye/İSTANBUL,T. 0 (212) 277 64 62
71,KABAKÇA MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Kabakça Mahallesi / ÇATALCA,T. 0 (532) 740 27 28
72,KABAKOZ PLAJI,Kabakoz / ŞİLE,T. 
73,KADIKÖY CADDEBOSTAN - 1 PLAJI,Cadderbostan / KADIKÖY,T. 
74,KADIKÖY CADDEBOSTAN - 2 PLAJI,Caddebostan / KADIKÖY,T. 
75,KADIKÖY İTFAİYE İSTASYONU,Osmanağa Mah. Söğütlüçeşme Cad. Mahmut Baba Türbe Sok. Kadıköy/İSTANBUL,T. 0 (216) 336 08 72
76,KAĞITHANE İTFAİYE İSTASYONU,Merkez Mah. Osmanpaşa Cad. Iski Içi No:7 Nurtepe Kağıthane/ ISTANBUL,T. 0 (212) 312 65 55
77,KALEMKÖY MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Kalemköy Mahallesi / ŞİLE,T. 0 (534) 824 58 30
78,KAMİLOBA PLAJI,Kamiloba Plajı / BÜYÜKÇEKMECE,T. 
79,KARABURUN MAHALLESİ GÖNÜLLÜ İFAİYE İSTASYONU,Karaburun Mahallesi / ARNAVUTKÖY,T. 0 (212) 762 20 76
80,KARACAKÖY İTFAİYE İSTASYONU (ÇATALCA),Karacaköy Mah. Atatürk Cad. Pazar Sk. No:3 Çatalca/ ISTANBUL,T. 0 (212) 763 49 13
81,KARACAKÖY İTFAİYE İSTASYONU (ŞİLE),Karacaköy Mah. Taşçıağzı Mevkii ile - Ağva Yolu Üzeri Bekarköyü Sk. No:1 Karacaköy,T. 0 (216) 744 13 81
82,KARACAKÖY PLAJI,Karacaköy Plajı / ÇATALCA,T. 
83,KARTAL İTFAİYE İSTASYONU,Çavuşoğlu Mah. Namıkkemal Cad. No:7 Kartal/İSTANBUL,T. 0 (216) 306 92 73
84,KAVACIK İTFAİYE İSTASYONU,Rüzgarlı Bahçe Mah. Şehit Sinan Eroğlu Cad. No:1 Kavacık Beykoz/ISTANBUL,T. 0 (216) 331 02 41
85,KAYIŞDAĞI İTFAİYE İSTASYONU,Darülaceze İçi KAyışdağı Ataşehir/İSTANBUL,T. 0 (216) 313 24 78
86,KEMERBURGAZ İTFAİYE İSTASYONU,Mithatpaşa Mah. Selanik Bulvarı No:80 Eyüp/ ISTANBUL,T. 0 (212) 360 07 04
87,KESTANELİK MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Kestanelik Mahallesi/ ÇATALCA,T. 0 (533) 724 86 73
88,KINALIADA İTFAİYE İSTASYONU,Kınalı Cd. Fırınardı Sk. No:16 Kınalıada Adalar/ISTANBUL,T. 0 (216) 381 41 11
89,KIRAÇ İTFAİYE İSTASYONU,Akçaburgaz Mah. 62. Sokak Kıraç Esenyurt/ISTANBUL,T. 0 (212) 689 82 95
90,KISIRKAYA PLAJI,Kısırkaya / SARIYER,T. 
91,KIZILCAKÖY PLAJI,Kızılcaköy Plajı / ŞİLE,T. 
92,KİLİMLİ PLAJI,Kilimli / ŞİLE,T. 
93,KOCAMUSTAFAPAŞA İTFAİYE İSTASYONU,Seyitömer Mahallesi Emrullah Efendi Sokak No:37 Fatih / ISTANBUL,T. 0 (212) 632 79 12
94,KOCASİNAN İTFAİYE İSTASYONU,Zafer Mah. Atatürk Cad No:38 Kocasinan Bahçelievler/İSTANBUL,T. 0 (212) 551 28 10
95,KUMBABA PLAJI,Kumbaba Plajı / ŞİLE,T. 
96,KUMBURGAZ İTFAİYE İSTASYONU,Merkez Mah. 2. Otoban Cad. Elçin Sk. Kumburgaz Büyükçekmece/ ISTANBUL,T. 0 (212) 885 44 38
97,KUMBURGAZ PLAJI,Kumburgaz Plajı / BÜYÜKÇEKMECE,T. 
98,KURFALLI PLAJI,Kurfallı pLajı / ŞİLE,T. 
99,KURTKÖY İTFAİYE İSTASYONU,Kurtköy Mah. Ankara Cad. Çinili Sok. No:273 Pendik/ISTANBUL,T. 0 (216) 378 70 72
100,MADEN İTFAİYE İSTASYONU,F.S Maehmet Mah. Kilyos Cad. Site Yolu Sk. Sarıyer/ ISTANBUL,T. 0 (212) 342 10 14
101,MALTEPE İTFAİYE İSTASYONU,Bağlarbaşı Mah. Cengiz Topel Cad. No:3 Maltepe İstanbul,T. 0 (216) 305 54 81
102,MECİDİYEKÖY İTFAİYE İSTASYONU,Fulya Mah. Garaj Sok. No:12 Mecidiyeköy ili/ISTANBUL,T. 0 (212) 347 91 95
